번호,크리에이터,마이스토어URL,상품명,마이링크URL,유형
1,"씽아","https://mystore-mockup.vercel.app/sing.______","씽아 팔로워 전용 선착순 할인 쿠폰팩 최대 99,000 원 8종 구성 받기","https://myrealt.rip/YyJb42","기타"
2,"씽아","https://mystore-mockup.vercel.app/sing.______","나트랑 깜란공항 패스트트랙 (입국&출국)","https://myrealt.rip/YyIJ2a","공항편의"
3,"씽아","https://mystore-mockup.vercel.app/sing.______","나트랑 공항 픽업&샌딩 프라이빗 단독차량","https://myrealt.rip/YyIK93","공항편의"
4,"씽아","https://mystore-mockup.vercel.app/sing.______","나트랑 국제공항 VIP 패스트트랙","https://myrealt.rip/YyIN7c","공항편의"
5,"씽아","https://mystore-mockup.vercel.app/sing.______","나트랑 출발 판랑 사막투어 (일출/선셋)","https://myrealt.rip/YyIO49","투어"
6,"씽아","https://mystore-mockup.vercel.app/sing.______","나트랑 판랑 사막 인생샷 투어 (드론촬영+스냅 무료)","https://myrealt.rip/YyIqad","투어"
7,"씽아","https://mystore-mockup.vercel.app/sing.______","나트랑 미니비치 스노쿨링 호핑투어 (한국인가이드+고프로 무료)","https://myrealt.rip/YyJI0f","투어"
8,"씽아","https://mystore-mockup.vercel.app/sing.______","나트랑 해적 호핑투어 (무제한 음료&맥주+스노클링)","https://myrealt.rip/YyJJ97","투어"
9,"씽아","https://mystore-mockup.vercel.app/sing.______","나트랑 빈원더스 입장권 + 왕복 케이블카","https://myrealt.rip/YyJKc7","입장권"
10,"씽아","https://mystore-mockup.vercel.app/sing.______","나트랑 깜란공항 패스트트랙 (빠른입국&출국)","https://myrealt.rip/YyJM18","공항편의"
11,"씽아","https://mystore-mockup.vercel.app/sing.______","나트랑 깜란 공항 단독 & 조인 차량 픽업 샌딩","https://myrealt.rip/YyJNc4","공항편의"
12,"씽아","https://mystore-mockup.vercel.app/sing.______","사타 호텔 나트랑","https://myrealt.rip/YyJP9f","숙소"
13,"씽아","https://mystore-mockup.vercel.app/sing.______","아이리조트 나트랑 입장권","https://myrealt.rip/YyS849","입장권"
